Id,AreaId,District,Latitude,Longitude
191,486,Gamla staden,55.6058333333333,13.0036111111111
192,486,Gustav Adolfs torg,55.60264,13.00045
193,486,Inre hamnen,55.6113888888889,12.9983333333333
194,486,Katrinelund,55.6008333333333,13.0338888888889
195,486,Kungsparken,55.603181,12.991757
196,486,Lilla torg,55.60511,12.9988
197,486,Lugnet,55.5986111111111,13.0036111111111
198,486,Malmgården,55.6058333333333,13.02
199,486,Malmö Centrum,55.6083333333333,13.0166666666667
200,486,Malmö centralstation,55.608972,12.999766
201,486,Malmö hamn,55.6166666666667,13
202,486,Malmö rådhus,55.6063888888889,13.0013888888889
203,486,Malmöhus,55.605,12.9875
204,486,Norra Sorgenfri,55.5983333333333,13.0286111111111
205,486,Riksbankshuset,55.60726,13.00275
206,486,Rådmansvången,55.5952777777778,13.0030555555556
207,486,Rörsjöstaden,55.6033333333333,13.0152777777778
208,486,Sankt Petri kyrka,55.6069444444444,13.0036111111111
209,486,Slussen,55.6075,13.0172222222222
210,486,Spillepengen,55.6344444444444,13.0477777777778
211,486,Stapelbäddsparken,55.6136111111111,12.9838888888889
212,486,Stortorget,55.60617,13.00024
213,486,Tandvårdshögskolan,55.5913888888889,13.0016666666667
214,486,Teater 23,55.6058333333333,13.0044444444444
215,486,Triangeln,55.59686,13.00125
216,486,Universitetsholmen,55.608,12.991
217,486,Värnhem,55.6019444444444,13.0225
218,486,Värnhemstorget,55.60552,13.02305
219,486,Västra Sorgenfri,55.5988888888889,13.0144444444444
220,486,Västra hamnen,55.6122222222222,12.9797222222222
221,486,World Maritime University,55.6058333333333,12.9813888888889
222,486,Östervärn,55.6066666666667,13.0261111111111
223,486,Annetorp,55.5766666666667,12.9344444444444
224,486,Bellevue,55.5902777777778,12.9508333333333
225,486,Bunkeflo,55.555862,12.964103
226,486,Bunkeflostrand,55.5447222222222,12.9236111111111
227,486,Djupadal,55.5741666666667,12.9527777777778
228,486,Elinelund,55.5630555555556,12.9522222222222
229,486,Hyllieby,55.5680555555556,12.9636111111111
230,486,Klagshamn,55.5266666666667,12.9355555555556
231,486,Limhamn,55.5847222222222,12.9388888888889
232,486,Limhamn-Bunkeflo,55.55,12.95
233,486,Limhamns Museum,55.5898611111111,12.9416944444444
234,486,Limhamns hamnområde,55.5880555555556,12.9269444444444
235,486,Limhamns kalkbrott,55.567681,12.933565
236,486,Naffentorp,55.5436111111111,12.9788888888889
237,486,Nya Bellevue,55.5858333333333,12.9613888888889
238,486,Pile-Tygelsjö,55.5111111111111,12.9488888888889
